 ,X,Y
1,11.000,0.500
2,24.500,0.500
3,58.500,0.500
4,70.000,0.500
5,97.000,0.500
6,171.000,0.833
7,185.000,0.500
8,189.000,0.500
9,199.500,0.500
10,213.682,0.682
11,225.000,0.500
12,235.000,0.500
13,255.000,1.000
14,276.000,0.500
15,320.000,0.500
16,326.000,0.500
17,332.500,0.500
18,359.000,0.500
19,397.000,0.500
20,404.750,0.750
21,459.000,0.500
22,484.000,1.000
23,493.000,0.500
24,499.000,0.500
25,517.000,0.500
26,520.833,0.833
27,537.000,0.500
28,541.000,0.500
29,555.000,0.500
30,566.500,0.500
31,571.000,0.500
32,583.269,0.962
33,589.000,0.500
34,602.000,0.500
35,621.000,0.500
36,15.000,2.000
37,79.000,1.500
38,135.000,1.500
39,291.000,2.000
40,593.167,2.167
41,611.000,1.500
42,629.000,1.500
43,1.000,2.500
44,468.500,2.500
45,491.000,2.500
46,513.000,2.500
47,525.000,2.500
48,574.700,2.900
49,168.500,3.500
50,520.500,4.000
51,545.000,3.500
52,611.000,3.500
53,632.500,3.833
54,16.500,4.500
55,63.000,4.500
56,71.000,4.500
57,101.000,4.500
58,114.500,4.500
59,553.000,5.000
60,639.000,4.500
61,7.750,6.125
62,25.000,5.500
63,92.000,5.500
64,171.000,5.500
65,249.000,6.500
66,352.500,5.500
67,443.000,5.500
68,479.500,5.500
69,499.500,5.500
70,548.500,5.500
71,591.000,5.500
72,623.000,5.500
73,99.500,6.500
74,581.500,6.500
75,594.000,7.000
76,613.500,7.000
77,636.000,6.500
78,3.500,7.500
79,40.500,7.500
80,119.000,8.000
81,286.500,7.500
82,298.000,7.500
83,333.000,7.500
84,407.500,7.500
85,476.500,7.500
86,487.500,7.500
87,529.000,7.500
88,569.500,7.500
89,572.500,7.500
90,626.000,7.500
91,18.500,8.500
92,54.500,8.500
93,61.000,9.000
94,81.500,8.500
95,189.000,8.500
96,195.000,8.500
97,377.500,8.500
98,432.000,8.500
99,597.786,8.929
100,65.000,10.000
101,491.000,10.000
102,513.000,9.500
103,567.000,9.500
104,572.500,9.500
105,611.000,10.500
106,39.000,10.500
107,83.500,10.500
108,135.000,10.500
109,349.500,10.500
110,529.000,10.500
111,175.000,12.000
112,181.000,11.500
113,301.500,11.500
114,511.000,11.500
115,637.000,11.500
116,13.500,12.833
117,20.500,12.500
118,33.500,13.000
119,113.500,12.500
120,125.500,12.500
121,131.000,12.500
122,562.700,13.100
123,279.000,14.000
124,290.000,14.000
125,353.500,13.500
126,443.000,13.500
127,499.500,15.600
128,521.000,13.500
129,570.000,13.500
130,591.000,13.500
131,63.000,15.000
132,75.000,14.500
133,119.000,14.500
134,317.000,14.500
135,417.500,15.000
136,447.000,14.500
137,23.300,16.100
138,26.750,16.250
139,46.500,15.500
140,51.000,15.500
141,57.000,15.500
142,88.500,15.500
143,101.500,15.500
144,149.000,15.500
145,269.500,15.500
