 ,X,Y
1,279.500,30.000
2,282.500,29.500
3,289.000,29.667
4,277.583,34.583
5,286.500,33.500
6,299.883,262.102
7,276.500,37.833
8,343.500,37.500
9,258.000,40.500
10,254.000,42.250
11,246.500,48.500
12,237.000,53.500
13,227.500,56.500
14,225.500,57.500
15,334.000,58.500
16,267.000,62.500
17,325.000,63.500
18,269.000,64.500
19,212.500,67.500
20,336.192,70.500
21,271.000,71.500
22,323.000,71.500
23,300.500,72.500
24,394.833,72.833
25,392.500,73.500
26,401.000,77.500
27,347.000,81.500
28,404.500,80.500
29,350.000,83.500
30,273.300,85.100
31,315.000,85.000
32,289.000,87.000
33,389.500,86.500
34,271.000,87.500
35,362.500,88.250
36,311.000,90.000
37,359.000,89.500
38,319.567,91.433
39,266.000,91.500
40,271.441,98.147
41,375.500,93.500
42,284.000,95.333
43,318.393,97.036
44,329.000,95.500
45,343.000,97.500
46,340.271,107.620
47,293.909,102.955
48,304.333,102.833
49,322.500,103.500
50,231.269,106.577
51,248.333,104.833
52,261.375,107.625
53,269.500,108.500
54,289.000,111.125
55,263.786,113.071
56,326.000,110.500
57,276.722,112.500
58,319.000,111.500
59,301.000,112.500
60,303.000,114.500
61,305.167,116.833
62,383.000,118.500
63,298.000,119.500
64,337.500,119.500
65,353.500,120.300
66,255.500,120.500
67,349.000,120.500
68,346.833,124.875
69,358.500,124.500
70,284.000,125.500
71,363.000,125.500
72,271.667,127.167
73,364.000,129.000
74,399.000,154.500
75,438.500,157.000
76,179.000,159.500
77,229.000,159.500
78,396.500,159.500
79,385.500,160.500
80,437.700,161.700
81,395.000,166.500
82,400.300,167.300
83,229.000,168.500
84,390.981,174.204
85,395.000,178.500
86,167.786,186.429
87,383.864,186.818
88,445.167,185.833
89,379.000,187.500
90,163.500,194.500
91,163.000,199.500
92,424.000,207.500
93,424.214,209.929
94,408.000,212.000
95,424.000,214.000
96,403.000,219.500
97,444.357,224.464
98,433.900,221.900
99,411.000,223.500
100,415.000,225.000
101,453.167,226.833
102,428.429,230.357
103,445.400,229.900
104,417.500,231.500
105,197.500,232.500
106,445.244,297.766
107,451.000,232.500
108,195.000,234.500
109,434.200,238.900
110,195.000,239.500
111,415.000,240.500
112,429.000,239.500
113,439.000,244.167
114,415.500,247.000
115,433.500,255.000
116,415.100,256.700
117,432.500,258.500
118,427.000,264.500
119,424.000,276.000
120,425.667,288.833
121,178.500,292.500
122,161.000,303.500
123,425.000,303.500
124,465.500,304.500
125,207.000,306.500
126,159.167,308.833
127,427.333,313.833
128,432.500,312.500
129,459.500,312.500
130,433.167,321.167
131,229.500,321.500
132,227.500,324.500
133,433.000,325.000
134,223.000,327.500
135,229.500,327.500
136,392.500,327.500
137,209.000,328.500
138,393.000,330.500
139,192.000,335.000
140,186.045,336.773
141,225.000,335.500
142,393.000,337.000
143,200.500,339.500
144,183.100,342.300
145,193.833,344.500
146,205.000,343.500
147,399.000,343.500
148,181.000,344.500
149,198.502,367.669
150,225.000,344.500
151,401.500,344.500
152,229.500,349.500
153,401.000,349.500
154,431.000,351.000
155,225.000,353.000
156,455.667,355.500
157,191.000,356.500
158,442.000,359.000
159,170.000,361.000
160,179.000,360.500
161,437.000,360.500
162,449.500,360.500
163,465.500,360.500
164,187.357,362.500
165,397.000,362.500
166,436.467,364.300
167,421.000,364.500
168,417.000,366.500
169,427.000,366.500
170,399.000,367.500
171,441.722,368.611
172,437.500,368.500
173,433.000,369.500
174,399.000,370.500
175,215.000,372.000
176,433.500,372.500
177,443.000,373.000
178,396.500,376.167
179,426.857,377.643
180,437.800,377.700
181,434.885,401.346
182,399.500,383.500
183,446.250,384.750
184,195.000,390.500
185,211.000,393.000
186,219.000,393.500
187,194.500,394.500
188,201.000,393.500
189,221.500,399.500
190,399.167,401.833
191,167.406,417.953
192,411.000,408.500
193,417.000,409.000
194,217.000,410.500
195,424.600,410.900
196,421.000,415.500
197,426.300,421.980
198,191.167,427.833
199,179.000,429.500
200,183.000,432.000
201,188.500,431.500
202,437.056,432.389
203,479.500,462.500
204,81.500,473.500
205,87.500,473.500
