 ,X,Y
1,346.458,35.305
2,296.636,28.864
3,309.000,27.500
4,283.500,28.500
5,284.196,30.935
6,323.000,29.000
7,317.167,30.690
8,305.500,31.500
9,323.500,31.500
10,330.000,31.500
11,359.000,31.500
12,368.500,36.500
13,263.500,37.500
14,277.500,37.500
15,283.000,37.500
16,257.405,51.686
17,375.000,38.500
18,385.500,42.500
19,354.808,45.731
20,369.000,44.625
21,377.412,46.029
22,397.500,45.500
23,366.621,50.318
24,252.500,47.500
25,393.000,50.083
26,248.611,49.611
27,277.447,51.447
28,244.500,51.500
29,240.000,54.600
30,245.000,53.500
31,264.000,53.500
32,379.588,56.618
33,233.000,54.500
34,393.667,55.167
35,287.500,57.000
36,295.000,57.000
37,302.500,56.500
38,255.167,59.833
39,401.000,59.500
40,273.000,60.500
41,339.933,63.700
42,392.333,60.833
43,266.833,61.833
44,321.000,63.500
45,403.000,63.500
46,417.500,63.500
47,269.000,64.500
48,413.817,72.212
49,253.750,67.250
50,261.000,68.000
51,237.403,73.569
52,321.044,255.845
53,402.000,70.500
54,258.500,71.500
55,300.000,72.500
56,239.000,74.500
57,227.382,79.912
58,256.200,78.100
59,305.000,79.000
60,265.577,80.269
61,418.500,79.500
62,235.994,84.786
63,300.500,80.500
64,302.500,80.500
65,391.667,80.833
66,257.000,81.500
67,412.071,84.214
68,402.167,86.100
69,409.000,85.500
70,219.500,86.500
71,411.000,87.500
72,219.000,89.000
73,425.000,88.500
74,427.000,90.500
75,222.000,96.500
76,417.000,100.000
77,221.900,102.100
78,432.500,103.500
79,221.000,104.500
80,430.500,104.500
81,217.000,107.500
82,433.214,109.500
83,207.500,111.500
84,205.000,116.000
85,432.786,124.500
86,438.100,128.100
87,435.611,131.333
88,441.000,138.500
89,202.833,152.833
90,438.833,160.833
91,437.038,166.500
92,433.000,170.500
93,267.000,171.500
94,254.500,172.500
95,439.000,173.500
96,436.071,177.214
97,205.500,205.000
98,434.000,294.500
99,437.500,361.500
100,432.500,367.500
101,435.500,375.000
102,359.500,448.500
