 ,X,Y
1,287.500,28.786
2,281.000,30.000
3,294.333,29.833
4,277.000,30.500
5,287.000,33.500
6,295.236,278.642
7,303.500,36.500
8,261.357,40.929
9,264.000,44.500
10,253.500,47.500
11,241.000,48.500
12,247.500,49.500
13,256.000,49.500
14,339.960,56.053
15,246.500,55.500
16,417.187,144.914
17,227.500,58.500
18,237.700,62.100
19,329.000,62.500
20,332.500,62.333
21,279.000,63.500
22,337.000,63.500
23,273.000,65.000
24,338.333,67.667
25,215.500,68.500
26,284.000,71.000
27,295.500,71.000
28,333.000,70.500
29,344.500,70.611
30,352.500,71.500
31,225.500,72.500
32,340.000,72.500
33,379.000,72.500
34,354.400,74.300
35,226.500,74.500
36,302.000,74.500
37,363.821,77.321
38,335.000,76.500
39,346.500,78.500
40,371.667,79.167
41,406.500,78.500
42,278.848,82.848
43,295.167,80.833
44,340.385,81.962
45,363.500,80.500
46,366.833,81.167
47,386.000,80.500
48,316.500,81.500
49,353.000,82.000
50,376.908,86.855
51,289.000,82.500
52,407.000,82.500
53,312.500,84.000
54,389.400,84.100
55,347.000,84.500
56,273.375,86.375
57,267.000,87.000
58,412.500,86.500
59,335.167,90.700
60,344.000,87.500
61,340.200,90.300
62,268.000,90.500
63,273.000,90.500
64,250.145,95.048
65,289.000,91.500
66,308.214,91.929
67,369.003,120.280
68,304.833,94.833
69,314.000,95.000
70,329.667,95.167
71,369.000,94.500
72,258.000,95.500
73,289.000,95.500
74,297.000,95.500
75,319.300,96.500
76,359.000,97.000
77,367.000,96.500
78,300.600,99.200
79,313.600,99.600
80,259.923,100.115
81,289.000,98.500
82,293.500,98.500
83,399.500,98.500
84,274.136,100.591
85,367.000,101.700
86,244.919,105.887
87,302.500,103.000
88,319.000,103.500
89,399.000,103.000
90,268.333,104.167
91,272.333,107.667
92,334.000,103.500
93,261.000,104.500
94,323.000,104.500
95,367.500,104.500
96,249.000,105.500
97,401.000,106.500
98,311.000,107.500
99,336.466,110.914
100,298.833,111.500
101,231.000,111.000
102,289.900,111.700
103,270.500,112.500
104,383.000,113.000
105,268.056,115.611
106,259.000,115.500
107,294.333,116.167
108,324.500,116.750
109,341.000,116.500
110,381.000,116.750
111,286.793,123.586
112,343.000,118.500
113,263.500,119.500
114,271.000,119.500
115,399.000,119.500
116,299.000,120.500
117,261.500,122.000
118,315.667,122.667
119,299.000,125.000
120,274.500,126.000
121,389.000,125.500
122,305.500,127.000
123,303.500,129.000
124,347.000,128.500
125,339.800,130.700
126,391.000,130.500
127,271.000,132.000
128,295.000,131.500
129,345.000,135.500
130,273.667,135.167
131,267.400,136.100
132,353.000,135.500
133,366.500,137.500
134,401.000,138.500
135,183.500,139.750
136,401.000,143.000
137,188.000,147.000
138,411.000,149.500
139,442.357,155.500
140,375.667,154.833
141,390.000,158.000
142,233.000,159.500
143,395.000,159.500
144,390.432,167.205
145,402.289,164.816
146,443.500,162.500
147,395.000,164.500
148,231.000,174.000
149,395.000,172.500
150,399.000,174.000
151,176.000,177.500
152,417.000,180.500
153,383.000,181.500
154,171.500,184.500
155,407.000,188.000
156,399.500,193.853
157,407.000,191.500
158,398.786,199.500
159,403.000,199.000
160,165.500,199.500
161,420.500,207.500
162,423.000,208.000
163,424.654,212.038
164,434.556,219.722
165,443.700,222.300
166,402.143,224.643
167,411.900,225.300
168,417.500,225.000
169,456.929,229.214
170,407.000,231.000
171,185.500,232.500
172,415.000,233.000
173,447.000,233.000
174,430.000,235.000
175,455.286,235.500
176,194.333,236.167
177,408.000,236.000
178,447.463,240.426
179,185.000,236.500
180,447.901,299.476
181,415.500,241.000
182,436.500,245.000
183,170.500,252.500
184,433.500,264.500
185,431.000,279.500
186,225.500,290.500
187,417.500,304.500
188,463.500,304.500
189,216.357,307.786
190,459.500,309.500
191,431.000,311.500
192,435.000,313.000
193,223.000,319.000
194,399.000,319.500
195,198.000,328.000
196,215.500,327.500
197,153.167,328.833
198,225.500,328.500
199,197.000,331.000
200,231.500,332.000
201,225.500,332.500
202,405.500,333.500
203,199.500,334.500
204,225.000,335.500
205,399.000,335.500
206,211.500,336.500
207,419.000,336.500
208,205.000,338.000
209,190.000,342.500
210,204.500,346.500
211,180.664,352.978
212,202.488,365.884
213,231.000,346.500
214,433.800,347.700
215,225.000,349.000
216,189.500,353.000
217,199.000,351.500
218,204.786,353.643
219,225.000,352.500
220,454.389,354.722
221,465.000,353.500
222,174.000,357.500
223,450.500,358.071
224,189.500,359.500
225,197.000,359.500
226,175.000,360.500
227,220.250,362.500
228,449.500,360.500
229,429.000,362.500
230,440.825,367.225
231,187.278,370.500
232,225.500,376.500
233,433.620,386.473
234,441.167,378.583
235,395.000,377.500
236,185.167,379.833
237,200.500,386.500
238,441.000,385.500
239,205.000,389.500
240,204.500,392.500
241,216.200,395.700
242,201.636,410.583
243,433.500,396.000
244,431.500,398.500
245,439.611,407.215
246,227.000,399.500
247,216.700,400.900
248,174.626,416.006
249,411.000,407.500
250,419.000,408.500
251,445.000,408.500
252,425.893,413.321
253,429.000,410.500
254,415.500,413.000
255,419.000,415.500
256,435.423,421.500
257,425.346,424.231
258,191.000,426.000
259,428.722,427.833
260,436.700,432.900
261,88.167,472.792
