 ,X,Y
1,299.000,28.500
2,303.000,28.500
3,293.000,29.500
4,315.400,30.500
5,278.000,30.500
6,301.286,31.643
7,309.000,30.500
8,320.500,30.500
9,283.700,32.900
10,318.885,34.654
11,326.014,35.643
12,276.500,34.500
13,273.500,35.500
14,292.333,37.500
15,347.671,44.827
16,241.715,74.413
17,287.000,38.500
18,311.000,39.500
19,287.000,42.500
20,302.500,43.000
21,319.274,51.048
22,298.333,48.167
23,331.000,47.500
24,287.000,48.500
25,350.500,48.500
26,300.833,50.833
27,278.071,54.714
28,283.000,52.000
29,308.015,249.068
30,343.000,53.500
31,271.500,56.625
32,274.500,56.000
33,291.000,56.500
34,334.000,57.500
35,303.000,59.000
36,330.143,59.214
37,358.500,59.500
38,290.333,60.833
39,284.000,63.000
40,330.667,62.833
41,353.900,63.100
42,301.000,64.500
43,323.500,64.500
44,336.500,64.500
45,209.595,74.714
46,297.364,68.500
47,336.885,69.192
48,209.000,68.500
49,216.500,68.500
50,325.167,69.167
51,351.300,70.700
52,221.500,71.500
53,305.500,71.500
54,313.000,71.500
55,343.667,72.167
56,271.000,73.000
57,287.432,78.653
58,302.929,73.929
59,257.000,73.500
60,263.800,74.700
61,274.000,75.000
62,358.000,74.250
63,312.000,77.000
64,201.119,80.024
65,267.000,78.000
66,353.000,78.250
67,360.600,78.100
68,295.667,80.500
69,369.700,81.700
70,318.333,82.167
71,196.000,84.500
72,268.429,85.071
73,303.000,86.500
74,223.000,90.000
75,279.000,88.500
76,286.333,89.333
77,349.000,88.500
78,389.000,88.500
79,273.000,89.500
80,193.000,90.500
81,385.786,93.452
82,226.833,92.333
83,321.000,92.500
84,191.500,94.500
85,398.833,94.833
86,189.500,95.500
87,423.500,95.500
88,185.167,98.167
89,387.000,98.500
90,399.000,100.500
91,225.500,103.109
92,383.682,103.136
93,196.864,104.318
94,394.833,102.833
95,183.000,103.500
96,390.500,105.500
97,401.500,106.500
98,184.250,109.750
99,237.167,108.833
100,181.833,113.333
101,179.500,116.000
102,180.643,119.643
103,403.000,118.500
104,187.722,124.722
105,181.214,125.071
106,185.000,128.000
107,183.000,130.000
108,195.000,129.500
109,209.000,130.000
110,183.500,132.500
111,195.500,133.875
112,209.000,135.000
113,200.000,137.500
114,208.000,139.000
115,416.800,141.100
116,189.643,141.357
117,413.000,142.000
118,421.000,141.500
119,202.250,144.125
120,421.387,149.444
121,191.500,144.500
122,193.413,149.543
123,202.500,150.875
124,199.000,149.000
125,197.000,152.500
126,206.500,152.500
127,206.143,155.786
128,415.000,155.500
129,191.167,157.167
130,194.500,157.500
131,202.500,158.500
132,422.833,161.548
133,192.000,159.500
134,417.000,159.500
135,414.200,162.700
136,193.000,163.500
137,348.750,166.750
138,257.958,168.292
139,414.342,168.605
140,281.000,167.500
141,369.000,167.500
142,361.000,168.500
143,408.667,169.667
144,422.000,168.500
145,190.500,169.500
146,275.000,169.500
147,282.333,169.833
148,362.667,171.167
149,422.625,171.625
150,208.333,172.500
151,192.167,175.417
152,199.750,173.500
153,414.833,172.833
154,419.000,172.500
155,408.000,175.750
156,411.500,175.500
157,421.500,175.500
158,414.333,178.167
159,181.000,179.000
160,422.000,179.500
161,415.000,180.500
162,188.500,182.500
163,411.000,182.500
164,413.833,183.833
165,189.000,184.500
166,195.000,184.500
167,203.000,184.500
168,187.500,186.500
169,199.000,187.000
170,181.500,188.300
171,419.000,187.500
172,192.423,190.654
173,210.167,189.833
174,411.000,189.500
175,202.833,193.167
176,429.000,260.000
177,423.500,272.500
178,409.500,279.500
179,209.500,280.500
180,417.500,280.500
181,413.500,284.000
182,405.500,286.000
183,418.500,285.500
184,421.000,285.500
185,203.062,290.938
186,219.000,288.500
187,200.000,297.500
188,431.000,297.500
189,411.000,300.000
190,405.000,300.500
191,197.900,302.700
192,417.500,302.500
193,431.000,303.667
194,215.000,304.500
195,219.071,305.786
196,409.479,308.606
197,436.000,304.500
198,438.500,305.500
199,214.500,307.000
200,197.500,307.500
201,426.500,308.500
202,443.000,309.000
203,401.000,309.500
204,445.500,310.500
205,215.500,311.500
206,223.000,311.500
207,414.500,311.500
208,424.500,311.500
209,447.500,312.500
210,217.000,313.500
211,419.239,315.283
212,405.222,316.611
213,218.833,317.167
214,405.000,319.500
215,214.833,321.167
216,425.053,324.447
217,433.088,322.382
218,455.500,322.500
219,397.000,326.500
220,435.833,327.278
221,457.500,326.500
222,218.000,327.500
223,391.000,327.500
224,399.000,328.500
225,433.000,331.000
226,459.500,331.500
227,211.500,336.500
228,439.500,336.500
229,197.000,340.500
230,462.500,340.500
231,187.500,342.500
232,439.500,343.500
233,425.000,344.500
234,403.400,347.100
235,129.000,347.500
236,437.500,349.167
237,131.000,349.500
238,130.833,352.833
239,391.000,352.500
240,399.500,352.500
241,222.500,354.300
242,396.900,357.033
243,127.833,358.000
244,220.500,357.167
245,427.000,358.000
246,208.500,360.000
247,466.500,359.500
248,216.000,360.500
249,128.500,361.500
250,128.500,363.500
251,392.500,363.500
252,206.500,365.500
253,388.750,366.750
254,208.500,368.500
255,427.357,369.214
256,400.833,370.833
257,414.500,371.500
258,460.000,373.000
259,211.533,374.500
260,392.500,375.500
261,207.500,376.500
262,210.500,377.500
263,206.833,378.833
264,206.500,382.500
265,463.500,382.500
266,391.000,383.500
267,207.500,385.000
268,382.500,384.500
269,208.000,389.000
270,460.500,388.500
271,382.500,389.500
272,440.500,389.500
273,374.500,391.000
274,459.000,390.500
275,464.500,392.500
276,206.500,393.500
277,461.500,393.500
278,208.500,394.500
279,371.786,394.929
280,433.000,395.000
281,452.333,396.333
282,368.500,395.500
283,385.000,396.500
284,459.000,397.000
285,463.000,396.500
286,461.500,398.500
287,366.500,400.000
288,426.500,399.500
289,460.200,401.800
290,384.500,403.000
291,448.500,402.500
292,369.500,403.500
293,466.500,405.500
294,469.500,406.500
295,356.500,407.500
296,380.500,407.500
297,433.500,407.500
298,472.500,408.167
299,366.500,408.500
300,407.577,410.038
301,476.000,409.500
302,354.071,410.929
303,433.000,410.500
304,479.500,410.500
305,483.500,411.833
306,399.000,414.000
307,488.500,413.500
308,491.000,414.500
309,424.500,415.500
310,375.000,416.500
311,497.500,416.500
312,398.500,417.500
313,500.000,417.500
314,353.300,418.900
315,411.083,421.417
316,506.500,419.500
317,347.000,421.500
318,361.500,423.500
319,400.500,423.500
320,413.100,425.300
321,519.500,424.500
322,372.357,426.786
323,401.500,425.500
324,402.115,428.577
325,367.500,428.500
326,334.500,429.500
327,406.500,429.500
328,328.500,431.000
329,378.000,431.000
330,391.955,431.955
331,368.500,431.500
332,348.833,433.167
333,400.500,432.500
334,538.500,432.500
335,361.500,433.500
336,355.357,435.357
337,386.500,434.833
338,124.000,435.500
339,337.000,435.500
340,367.000,435.500
341,420.500,435.500
342,383.000,436.500
343,121.357,438.310
344,136.500,437.500
345,362.100,438.300
346,414.500,437.500
347,555.000,439.000
348,140.071,440.214
349,356.500,439.500
350,369.000,439.500
351,375.500,439.500
352,121.000,440.500
353,165.000,440.500
354,351.000,440.750
355,373.000,441.000
356,378.833,441.167
357,382.500,440.500
358,152.500,441.500
359,190.750,443.750
360,336.833,443.167
361,369.000,442.500
362,562.500,442.500
363,135.000,444.750
364,156.000,443.500
365,174.500,443.500
366,333.000,444.667
367,382.500,443.500
368,164.000,444.500
369,145.000,445.500
370,173.000,446.000
371,318.500,445.500
372,181.000,446.500
373,570.500,446.500
374,152.500,448.643
375,192.500,447.500
376,274.500,447.500
377,276.500,447.500
378,290.500,447.500
379,330.500,447.500
380,342.000,448.000
381,371.000,447.500
382,375.000,447.500
383,165.262,449.833
384,315.000,449.000
385,320.500,449.100
386,325.000,449.000
387,360.000,448.500
388,573.500,448.500
389,293.000,449.500
390,211.413,452.587
391,218.500,450.500
392,225.000,450.500
393,258.143,451.500
394,351.667,450.833
395,189.000,452.667
396,220.500,451.500
397,264.500,451.500
398,269.000,452.000
399,274.000,452.000
400,289.000,451.500
401,369.000,451.500
402,266.500,452.500
403,305.000,452.500
404,314.500,452.500
405,354.143,454.357
406,200.333,454.500
407,232.000,454.750
408,237.500,453.500
409,318.500,453.500
410,349.500,454.500
411,360.000,455.000
412,185.000,455.500
413,241.000,455.500
414,301.000,455.500
415,207.000,456.500
416,210.500,456.500
417,215.000,456.500
418,298.500,456.500
419,292.500,457.500
420,305.000,458.500
421,326.000,459.000
422,359.000,458.500
423,299.389,461.167
424,318.000,461.500
425,329.000,462.833
426,224.500,464.500
427,256.500,464.500
428,359.000,464.500
429,372.500,471.500
