 ,X,Y
320,110.000,47.000
321,152.000,46.500
322,182.000,46.500
323,279.618,48.882
324,401.000,47.000
325,64.333,48.500
326,78.000,47.500
327,146.385,49.269
328,159.000,47.500
329,197.000,47.500
330,221.000,47.500
331,246.143,48.357
332,257.875,51.438
333,444.000,48.000
334,1.000,48.500
335,95.000,50.000
336,180.143,49.786
337,268.200,49.600
338,392.000,48.500
339,468.000,48.500
340,81.000,49.500
341,119.600,51.100
342,164.739,53.978
343,195.500,49.833
344,229.714,50.714
345,399.000,49.500
346,477.800,50.500
347,208.571,52.286
348,3.000,51.500
349,12.000,51.500
350,34.000,51.500
351,71.000,52.500
352,306.833,51.833
353,2.500,54.500
354,9.000,53.500
355,79.000,54.500
356,200.714,55.500
357,237.400,55.100
358,113.000,55.500
359,127.000,55.500
360,140.000,55.500
361,225.500,57.125
362,17.500,57.250
363,153.571,58.643
364,177.400,56.700
365,190.000,56.500
366,245.000,57.000
367,253.000,56.500
368,259.500,56.500
369,272.583,57.667
370,475.667,56.833
371,481.000,56.500
372,1.500,58.500
373,238.000,58.000
374,266.500,57.500
375,95.000,58.500
376,127.000,60.000
377,187.000,60.682
378,215.250,59.625
379,250.200,59.700
380,622.000,58.500
381,26.000,59.500
382,607.000,59.500
383,10.333,61.167
384,199.000,61.000
385,209.000,62.786
386,399.000,61.500
387,1.667,63.167
388,17.667,63.167
389,146.333,63.167
390,159.000,63.000
391,171.857,65.286
392,232.000,63.250
393,248.000,64.000
394,415.000,63.500
395,470.000,63.500
396,107.000,65.000
397,120.200,65.500
398,407.357,65.071
399,603.000,65.000
400,638.333,64.833
401,203.000,65.500
402,193.000,66.500
403,221.571,68.500
404,238.000,69.000
405,409.900,68.300
406,1.000,69.500
407,37.667,69.167
408,112.500,69.500
409,115.000,69.500
410,101.000,71.500
411,115.750,73.000
412,165.000,71.500
413,198.000,71.500
414,239.000,72.833
415,415.500,72.300
416,607.000,71.500
417,49.000,72.500
418,58.000,72.500
419,82.000,72.500
420,129.000,72.500
421,170.500,73.750
422,182.000,73.000
423,208.143,74.357
424,425.667,74.500
425,25.000,74.500
426,95.000,74.500
427,415.500,74.500
428,17.000,76.500
429,31.000,75.500
430,135.667,76.167
431,226.000,76.500
432,63.000,77.500
433,194.429,78.643
434,25.000,78.500
435,129.667,79.167
436,165.400,79.100
437,43.000,79.500
438,143.000,79.500
439,182.000,79.500
440,581.000,79.500
441,609.000,79.500
442,48.333,81.500
443,154.600,80.900
444,228.500,80.500
445,523.000,80.500
446,530.000,80.500
447,58.667,82.667
448,209.036,84.607
449,225.667,83.167
450,561.000,82.500
451,230.500,83.500
452,2.000,85.000
453,227.000,86.000
454,497.000,86.000
455,511.000,86.000
456,63.800,87.300
457,154.000,86.500
458,465.000,87.000
459,46.333,87.833
460,203.000,87.500
461,219.400,88.100
462,543.000,87.500
463,559.000,87.500
464,623.000,87.500
465,104.000,89.000
466,113.571,89.357
467,129.000,88.500
468,161.857,89.786
469,177.000,88.500
470,186.000,88.500
471,208.625,89.375
472,346.143,89.786
473,498.000,89.000
474,526.000,88.500
475,610.500,88.500
476,635.000,88.500
477,221.688,92.875
478,38.000,91.500
479,127.000,90.500
480,445.000,90.500
481,108.214,91.929
482,138.000,92.000
483,209.750,94.438
484,505.000,91.500
485,1.214,93.357
486,13.800,94.100
487,111.667,95.500
488,129.667,95.167
489,47.000,95.500
490,105.000,95.500
491,444.000,95.500
492,559.000,95.500
493,628.000,95.500
494,31.000,96.500
495,49.500,96.500
496,174.333,96.833
497,194.000,96.500
498,214.750,98.125
499,561.500,97.000
500,126.000,98.500
501,188.500,98.750
502,218.500,98.500
503,46.000,99.500
504,178.000,101.000
505,209.000,100.500
506,119.800,102.500
507,141.000,101.500
508,581.000,102.500
509,161.667,103.167
510,212.500,102.500
511,4.000,103.500
512,78.000,103.500
513,575.000,103.500
514,623.000,103.500
515,51.500,104.500
516,57.500,104.500
517,155.000,105.000
518,195.000,104.500
519,513.000,104.500
520,590.000,104.500
521,609.000,104.500
522,173.000,106.500
523,204.000,106.167
524,447.000,105.500
525,619.000,106.000
526,15.000,106.500
527,442.000,106.500
528,120.000,108.000
529,3.667,110.417
530,61.500,109.250
531,161.500,109.625
532,49.000,110.000
533,194.000,110.000
534,443.000,109.500
535,369.000,110.500
536,445.500,111.100
537,174.000,111.500
538,199.900,111.700
539,623.000,111.500
540,19.000,112.500
541,63.000,112.500
542,114.000,112.500
543,190.600,112.900
544,561.000,112.500
545,173.667,114.667
546,385.000,113.500
547,195.500,115.000
548,127.250,116.875
549,193.000,118.000
550,49.000,119.000
551,173.000,119.500
552,177.000,119.500
553,184.000,119.500
554,198.500,119.500
555,200.500,119.500
556,575.000,120.000
557,17.000,120.667
558,95.000,120.500
559,123.500,121.250
560,129.000,120.500
561,144.500,121.625
562,195.000,121.000
563,447.000,120.500
564,173.400,122.100
565,31.000,122.500
566,113.500,123.750
567,153.000,123.500
568,87.000,124.500
569,195.000,124.500
570,11.000,126.786
571,162.385,127.808
572,144.600,127.900
573,59.000,127.500
574,447.000,127.500
575,17.000,128.500
576,33.000,129.000
577,82.000,129.000
578,102.000,128.500
579,111.000,128.500
580,177.000,128.500
581,193.000,129.250
582,199.167,128.833
583,481.000,129.000
584,447.500,129.500
585,91.000,131.500
586,95.000,130.500
587,84.167,133.722
588,135.000,132.000
589,184.600,132.100
590,196.500,132.000
591,199.000,131.500
592,631.000,131.500
593,23.000,132.500
594,7.000,133.500
595,497.000,133.500
596,190.200,135.300
597,196.000,137.312
598,455.000,135.000
599,93.000,135.500
600,495.000,135.500
601,145.000,136.500
602,159.000,136.500
603,177.000,136.500
604,461.000,136.500
605,591.000,136.500
606,1.000,137.500
607,141.000,138.500
608,128.000,142.000
609,1.000,143.500
610,49.000,143.500
611,141.000,144.700
612,184.000,143.500
613,464.500,143.833
614,479.000,143.500
615,114.600,144.900
616,177.000,144.500
617,191.000,144.500
618,194.500,145.000
619,458.500,145.000
620,12.000,146.500
621,126.333,146.833
622,463.500,146.500
623,545.000,148.000
624,1.000,149.000
625,183.000,149.000
626,193.000,149.000
627,459.000,148.500
628,14.333,151.167
629,154.333,151.167
630,126.000,151.500
631,191.000,151.500
632,461.000,151.500
633,82.333,153.167
634,94.000,153.000
635,146.000,152.500
636,161.000,152.500
637,529.000,152.500
638,2.000,156.000
639,143.000,154.500
640,152.750,155.750
641,190.000,154.500
642,459.722,155.056
643,171.000,155.500
644,161.500,157.000
645,192.000,159.333
646,462.833,159.056
647,17.000,159.500
648,31.000,159.500
649,95.000,159.500
650,156.000,159.500
651,559.000,159.500
652,595.000,159.500
653,605.000,159.500
654,639.000,159.500
655,3.000,160.500
656,145.000,160.500
657,161.000,160.500
658,186.667,161.500
659,459.000,161.500
660,609.000,160.500
661,174.000,162.500
662,15.000,163.500
663,151.000,164.500
664,177.000,165.000
665,3.000,165.500
666,162.500,165.500
667,545.000,165.500
668,529.000,167.000
669,638.333,167.167
670,158.000,167.500
671,175.000,167.500
672,188.500,167.500
673,624.000,168.000
674,43.000,168.750
675,65.000,168.500
676,497.000,168.500
677,571.000,169.000
678,578.000,168.500
679,609.000,168.500
680,1.000,169.500
681,458.500,171.375
682,136.000,172.000
683,463.167,170.833
684,639.000,170.500
685,153.000,174.600
686,5.400,174.500
687,66.000,173.500
688,37.000,175.250
689,127.000,174.500
690,175.000,175.000
691,478.333,175.167
692,565.000,175.000
693,460.500,175.500
694,623.000,175.500
695,160.600,177.700
696,497.000,176.500
697,509.000,176.500
698,607.000,176.500
699,127.267,179.767
700,505.000,180.000
701,21.250,182.625
702,149.000,181.500
703,192.500,181.500
704,162.300,183.967
705,497.000,183.500
706,509.000,183.500
707,133.533,186.833
708,143.000,184.500
