 ,X,Y
1,299.500,28.500
2,314.038,29.808
3,319.000,28.500
4,281.000,29.500
5,302.833,30.833
6,321.367,31.967
7,330.000,33.000
8,278.000,33.500
9,336.853,36.382
10,298.000,35.500
11,362.685,55.793
12,270.000,36.500
13,284.500,36.500
14,306.243,245.088
15,280.900,38.700
16,287.500,37.500
17,316.000,37.500
18,292.500,39.000
19,300.500,38.500
20,277.000,41.500
21,312.115,44.769
22,322.500,48.500
23,346.500,49.500
24,339.000,52.167
25,333.000,52.500
26,324.611,55.944
27,337.000,55.500
28,295.000,56.500
29,304.587,59.239
30,335.000,59.250
31,288.833,60.667
32,357.000,59.500
33,351.000,62.500
34,219.167,62.833
35,294.357,65.071
36,334.000,63.500
37,209.240,74.474
38,300.167,65.367
39,216.500,66.500
40,278.000,68.000
41,294.140,75.433
42,335.000,69.000
43,350.429,71.738
44,311.342,71.447
45,325.000,69.500
46,265.000,71.500
47,304.000,72.000
48,279.667,72.833
49,287.000,72.500
50,337.000,73.000
51,349.000,75.000
52,277.000,75.500
53,382.056,77.389
54,241.638,80.776
55,269.000,78.500
56,360.318,80.500
57,233.000,79.500
58,245.000,79.500
59,273.000,79.500
60,249.000,80.500
61,279.864,80.955
62,193.500,81.500
63,229.000,81.500
64,314.600,82.100
65,193.500,83.500
66,230.318,85.409
67,271.000,83.500
68,304.000,84.000
69,278.000,84.500
70,357.500,84.500
71,355.500,85.500
72,227.000,86.500
73,285.000,87.500
74,327.167,87.167
75,389.167,86.833
76,351.000,87.500
77,359.000,87.500
78,394.500,87.500
79,400.500,87.500
80,323.000,89.000
81,385.000,88.500
82,398.500,88.500
83,401.000,89.500
84,343.000,90.500
85,382.500,90.500
86,210.000,91.500
87,390.848,99.522
88,424.500,93.500
89,347.167,98.167
90,185.500,99.000
91,235.000,99.786
92,399.000,98.500
93,197.500,100.500
94,431.167,101.167
95,185.000,102.500
96,398.900,103.700
97,185.500,105.000
98,216.500,104.500
99,240.833,104.833
100,407.500,104.500
101,235.000,106.500
102,398.333,110.167
103,183.056,119.556
104,188.500,112.500
105,189.000,115.000
106,193.000,116.000
107,190.000,118.500
108,206.500,119.500
109,189.800,121.800
110,209.167,123.167
111,212.500,123.500
