 ,X,Y
1,298.833,25.167
2,339.000,26.500
3,282.409,29.409
4,336.500,27.500
5,304.500,29.000
6,291.500,29.500
7,296.500,29.900
8,316.500,29.500
9,331.000,29.500
10,337.500,30.167
11,348.500,29.500
12,321.000,30.500
13,352.500,30.500
14,313.000,31.500
15,318.357,33.071
16,345.310,38.500
17,288.000,32.500
18,298.500,32.500
19,281.786,34.929
20,361.000,36.500
21,368.833,37.167
22,271.500,37.500
23,277.000,38.500
24,296.000,38.000
25,267.500,39.167
26,291.000,39.500
27,374.000,39.500
28,379.000,39.500
29,269.889,42.389
30,382.029,44.912
31,367.167,44.833
32,245.781,67.064
33,369.500,47.500
34,248.500,49.000
35,373.000,48.500
36,397.500,48.500
37,391.667,49.833
38,387.000,51.000
39,397.000,51.500
40,244.500,51.500
41,393.000,54.000
42,233.500,54.500
43,239.250,55.750
44,370.600,55.100
45,241.500,55.500
46,289.500,56.500
47,299.000,56.500
48,272.682,59.773
49,369.000,58.000
50,377.800,58.300
51,383.000,62.500
52,286.000,63.500
53,299.000,64.000
54,408.562,66.604
55,239.500,64.500
56,390.000,64.500
57,400.000,66.000
58,338.250,67.625
59,399.000,70.500
60,261.000,71.500
61,390.333,71.833
62,415.754,74.398
63,318.500,73.000
64,341.000,72.500
65,399.000,72.500
66,310.500,76.000
67,320.665,256.219
68,317.000,77.500
69,253.500,79.667
70,361.000,78.500
71,375.000,79.000
72,393.000,79.500
73,416.500,79.500
74,397.000,80.500
75,405.800,81.700
76,420.300,81.300
77,223.500,82.500
78,409.815,88.056
79,426.000,88.000
80,223.000,91.500
81,227.000,91.500
82,427.000,91.500
83,219.500,98.500
84,430.500,98.500
85,431.071,102.071
86,419.000,102.500
87,430.500,105.500
88,433.125,109.750
89,207.500,110.500
90,214.500,118.500
91,433.500,118.500
92,438.056,130.500
93,201.500,133.500
94,431.300,136.100
95,437.000,136.750
96,199.500,151.500
97,438.500,173.000
98,203.500,175.500
99,434.500,199.500
100,203.500,200.500
101,205.500,206.000
102,364.500,441.500
