 ,X,Y
1,5.000,1.000
2,27.786,0.929
3,35.000,1.000
4,41.500,0.500
5,76.167,2.000
6,117.000,0.500
7,147.000,0.500
8,166.500,0.500
9,170.071,2.214
10,195.773,0.682
11,204.000,0.500
12,221.000,0.500
13,240.000,0.500
14,247.833,0.722
15,254.167,0.833
16,316.000,0.500
17,325.000,0.500
18,341.000,1.000
19,356.200,0.700
20,403.000,0.500
21,408.500,0.500
22,413.000,0.500
23,449.500,1.250
24,457.000,0.500
25,474.167,0.722
26,491.000,0.500
27,515.000,0.500
28,521.000,1.000
29,529.000,0.500
30,544.700,0.900
31,562.167,1.500
32,572.000,0.500
33,580.038,0.808
34,589.000,0.500
35,595.000,1.000
36,608.333,1.500
37,614.333,1.167
38,625.000,0.500
39,630.500,0.500
40,633.000,0.500
41,51.500,1.500
42,151.000,1.500
43,155.000,1.500
44,181.900,1.700
45,433.000,1.500
46,507.000,1.500
47,523.500,2.000
48,555.000,1.500
49,636.912,4.676
50,84.500,2.833
51,132.000,2.500
52,401.500,2.500
53,441.667,2.833
54,455.000,2.500
55,529.000,2.500
56,599.000,2.500
57,605.629,5.113
58,0.500,3.500
59,177.000,4.000
60,479.167,4.167
61,593.000,4.000
62,596.500,3.500
63,626.333,4.167
64,630.833,5.056
65,66.500,5.167
66,215.500,4.500
67,253.000,4.500
68,522.500,4.500
69,535.000,4.500
70,539.000,5.000
71,555.000,4.500
72,573.000,6.417
73,589.000,4.500
74,633.500,4.500
75,219.000,6.000
76,233.000,5.500
77,237.000,5.500
78,363.000,5.500
79,543.000,6.000
80,15.000,6.500
81,36.500,6.500
82,122.333,7.167
83,143.643,7.357
84,157.000,6.500
85,161.000,6.500
86,289.000,6.500
87,472.611,7.056
88,521.500,7.750
89,561.000,7.000
90,595.000,7.000
91,55.500,7.500
92,153.500,7.500
93,203.000,7.500
94,212.000,8.000
95,223.000,7.500
96,266.500,7.500
97,277.000,7.500
98,385.000,7.500
99,450.500,7.500
100,501.000,7.500
101,527.000,7.500
102,557.000,7.500
103,621.000,7.500
104,628.500,7.500
105,0.500,8.500
106,59.000,8.500
107,64.000,8.500
108,303.500,8.500
109,351.000,8.500
110,462.000,9.000
111,517.000,8.500
112,587.917,10.583
113,76.500,10.000
114,100.833,10.667
115,193.000,9.500
116,447.000,10.000
117,499.500,12.778
118,511.000,10.000
119,545.000,9.500
120,601.500,9.500
121,625.000,9.500
122,634.500,9.833
123,56.500,10.500
124,109.000,11.000
125,161.000,10.500
126,184.000,10.500
127,225.000,10.500
128,467.000,10.500
129,483.000,11.000
130,507.000,10.500
131,549.722,12.056
132,639.000,10.500
133,0.900,12.700
134,9.000,11.500
135,148.000,11.500
136,263.000,12.000
137,274.000,11.500
138,287.000,11.500
139,329.500,11.500
140,522.500,11.500
141,526.500,11.500
142,619.100,13.700
143,51.600,14.400
144,55.500,12.500
145,197.000,12.500
146,373.500,12.500
147,607.000,12.500
148,635.000,12.500
149,25.000,13.500
150,81.591,14.682
151,87.500,13.500
152,188.000,13.500
153,206.667,14.333
154,214.000,14.000
155,233.000,13.500
156,275.300,13.900
157,493.000,13.500
158,535.000,13.500
159,564.167,13.833
160,585.136,14.864
161,177.000,14.500
162,253.000,14.500
163,368.500,14.500
164,380.833,15.167
165,403.000,14.500
166,437.000,15.000
167,479.000,14.500
168,531.000,14.500
169,576.500,16.367
170,592.500,14.500
171,599.750,15.750
172,131.000,16.000
173,166.045,16.682
174,199.000,15.500
175,262.000,16.000
176,290.500,15.500
177,335.000,15.500
178,365.000,15.500
179,376.500,15.833
180,417.000,15.500
181,490.000,15.500
182,506.000,17.571
183,540.000,15.500
184,545.000,15.500
185,631.400,16.300
186,639.000,15.500
187,27.167,17.167
188,85.500,16.500
189,118.500,17.000
190,125.500,16.750
191,135.300,17.700
192,144.000,17.000
193,178.500,16.500
194,248.000,17.000
195,293.000,16.500
196,304.000,16.750
197,317.000,17.000
198,325.000,16.500
199,403.000,17.000
200,429.500,16.500
201,517.000,16.500
202,526.500,16.500
203,556.000,16.500
204,564.700,16.900
205,571.000,16.500
206,609.000,16.500
207,255.000,17.500
208,443.000,18.167
209,543.000,17.500
210,549.000,17.500
211,152.357,19.786
212,175.000,19.000
213,205.000,18.500
214,228.000,18.500
215,433.167,19.167
216,535.500,18.500
217,555.000,18.500
218,601.000,18.500
219,637.000,19.000
220,45.500,19.500
221,72.500,19.500
222,201.000,20.000
223,295.000,19.500
224,499.500,19.500
225,511.000,19.500
226,515.750,21.833
227,561.167,20.167
228,620.000,20.000
229,1.000,21.500
230,82.333,21.500
231,129.500,20.500
232,158.833,21.167
233,169.667,21.167
234,184.000,21.000
235,239.000,21.167
236,249.000,20.500
237,272.500,21.000
238,310.000,20.500
239,366.200,22.600
240,417.500,20.500
241,523.000,20.500
242,533.167,20.833
243,34.500,21.500
244,143.500,21.500
245,176.300,22.700
246,277.000,21.500
247,298.500,21.500
248,395.000,21.500
249,421.500,21.500
250,439.000,21.500
251,453.000,21.750
252,569.500,21.500
253,587.000,21.500
254,593.000,21.500
255,49.000,23.000
256,105.500,23.000
257,111.000,23.500
258,250.000,22.500
259,270.500,22.500
260,287.500,22.500
261,373.000,23.000
262,387.000,22.500
263,434.500,22.500
264,499.500,22.500
265,556.875,23.250
266,597.000,23.000
267,639.500,22.500
268,30.000,24.000
269,55.500,23.500
270,63.000,23.500
271,139.000,23.500
272,142.500,23.833
273,195.000,23.500
274,219.500,23.500
275,313.500,23.500
276,323.000,23.500
277,416.875,24.625
278,510.500,23.500
279,564.333,24.167
280,613.000,23.500
281,616.667,24.667
282,632.500,23.500
283,13.500,25.000
284,69.500,24.833
285,97.000,24.500
286,149.000,24.500
287,185.000,24.500
288,190.100,25.300
289,237.000,24.500
290,240.000,24.500
291,265.500,25.000
292,397.500,24.500
293,424.500,24.500
294,455.500,24.750
295,476.700,24.900
296,491.667,25.167
297,503.000,24.500
298,550.000,28.350
299,553.167,24.833
300,577.682,26.409
301,587.500,24.500
302,606.333,25.167
303,627.083,26.750
304,1.000,26.000
305,8.833,25.833
306,133.000,25.500
307,167.000,25.500
308,253.000,25.500
309,284.500,25.500
310,463.100,26.700
311,469.500,26.000
312,499.500,26.000
313,595.000,25.500
314,635.000,25.500
315,38.833,27.167
316,99.000,26.500
317,113.500,26.500
318,147.000,27.000
319,173.000,27.000
320,230.500,26.500
321,241.000,26.500
322,280.500,26.500
323,292.667,27.667
324,314.500,26.500
325,431.500,26.500
326,517.000,27.000
327,525.000,26.500
328,84.500,28.000
329,109.500,28.000
330,155.000,27.500
331,179.000,27.500
332,197.500,28.000
333,201.000,28.000
334,255.000,27.500
335,324.276,29.810
336,346.192,30.038
337,375.000,27.500
338,393.500,27.500
339,421.000,28.500
340,439.000,28.000
341,468.167,28.611
342,565.000,27.833
343,4.000,29.000
344,169.000,28.500
345,189.000,28.500
346,276.500,28.500
347,300.500,28.500
348,303.900,28.700
349,503.500,28.500
350,513.000,28.500
351,594.088,30.441
352,637.667,28.833
353,20.500,30.000
354,125.500,29.500
355,162.500,29.500
356,183.000,29.500
357,241.500,29.500
358,273.750,29.750
359,309.722,31.056
360,361.167,29.833
361,365.000,29.500
362,461.500,29.500
363,481.000,29.500
364,633.000,29.500
365,9.000,30.500
366,115.500,30.500
367,120.227,33.045
368,139.000,30.500
369,143.000,30.500
370,285.571,30.929
371,337.500,30.500
372,369.000,31.000
373,379.423,31.577
374,393.500,30.500
375,452.833,31.167
376,501.000,30.500
377,536.500,30.500
378,559.900,31.300
379,607.000,30.500
380,625.000,30.500
381,85.000,32.700
382,97.000,31.500
383,165.000,31.500
384,168.500,31.500
385,193.167,31.833
386,263.000,31.500
387,302.500,31.500
388,331.000,32.000
389,356.500,31.500
390,365.500,31.500
391,391.500,31.500
392,497.500,31.500
393,523.000,31.500
394,633.500,31.500
395,7.000,32.500
396,11.000,32.500
397,25.000,32.500
398,53.000,32.500
399,67.000,32.500
400,75.500,32.500
401,105.167,33.167
402,157.500,32.500
403,160.500,32.500
404,182.000,32.500
405,187.000,32.500
406,204.667,33.833
407,256.833,33.167
408,289.500,32.500
409,327.136,34.318
410,333.500,32.500
411,489.000,33.000
412,493.000,32.500
413,500.500,32.500
414,579.000,32.500
415,609.500,32.500
416,0.500,33.500
417,225.167,34.167
418,336.500,33.500
419,339.500,33.833
420,360.417,35.167
421,369.667,33.833
422,416.000,33.500
423,419.000,33.500
424,541.500,34.500
425,562.000,34.000
426,573.167,36.976
427,606.500,34.750
428,615.881,36.119
429,637.300,33.900
430,19.500,34.500
431,64.300,35.700
432,171.167,34.833
433,177.500,34.500
434,238.833,34.833
435,245.667,36.417
436,278.500,35.300
437,284.000,34.500
438,377.000,34.500
439,493.000,35.000
440,513.500,34.500
441,585.000,34.500
442,591.000,34.500
443,54.833,35.833
444,151.500,36.000
445,307.900,36.300
446,439.000,36.000
447,462.000,35.500
448,468.700,36.700
449,568.214,35.929
450,599.000,35.500
451,51.500,36.500
452,174.250,36.750
453,281.000,36.500
454,325.000,37.000
455,334.233,38.833
456,338.214,36.929
457,357.284,43.213
458,371.000,37.000
459,550.000,37.000
460,581.000,36.500
461,28.900,38.300
462,77.500,38.000
463,191.167,38.167
464,259.000,37.500
465,321.000,37.500
466,489.500,37.500
467,511.000,37.500
468,523.167,38.167
469,560.667,40.417
470,577.000,38.000
471,637.000,37.500
472,1.000,39.000
473,33.500,38.500
474,44.500,39.000
475,115.500,38.500
476,251.000,39.000
477,274.000,38.500
478,385.868,42.026
479,473.000,38.500
480,568.700,39.100
481,601.500,38.500
482,127.700,39.700
483,145.000,39.500
484,160.500,39.500
485,289.500,39.500
486,308.000,39.500
487,327.500,39.500
488,371.500,39.500
489,395.500,39.500
490,407.000,39.500
491,413.000,39.500
492,465.500,39.500
493,470.500,39.500
494,486.167,40.611
495,507.000,39.500
496,517.000,39.500
497,624.250,40.250
498,26.500,40.500
499,53.500,41.000
500,99.000,40.500
501,110.000,40.500
502,123.500,40.500
503,141.500,40.500
504,167.500,40.500
505,181.000,40.500
506,193.000,40.500
507,213.000,40.500
508,229.000,41.000
509,244.000,40.500
510,250.859,63.468
511,283.250,41.750
512,329.500,40.500
513,367.000,40.500
514,419.000,40.500
515,441.000,40.500
516,460.500,40.500
517,473.000,41.000
518,504.500,40.500
519,509.500,40.500
520,587.722,40.944
521,592.500,40.500
522,633.667,41.500
523,21.500,41.500
524,49.500,41.500
525,63.500,41.500
526,187.000,41.500
527,203.167,42.167
528,331.500,41.500
529,576.500,41.500
530,603.000,41.500
531,607.000,42.000
532,58.500,42.500
533,87.000,42.500
534,241.591,43.136
535,251.500,43.500
536,330.500,43.167
537,431.000,43.000
538,494.000,43.000
539,598.000,43.000
540,155.000,44.000
541,377.500,44.214
542,463.000,43.500
543,504.000,43.500
544,582.143,45.214
545,594.900,46.000
546,624.500,43.500
547,81.000,45.000
548,107.000,44.500
549,110.500,44.500
550,191.500,45.667
551,209.500,44.500
552,322.500,44.500
553,340.318,45.409
554,410.333,44.833
555,441.800,45.300
556,452.600,45.300
557,520.333,45.500
558,573.000,45.500
559,627.000,44.500
560,639.167,44.833
561,1.000,46.000
562,8.500,45.500
563,89.000,45.500
564,130.500,46.000
565,160.500,45.500
566,227.000,45.750
567,277.000,46.500
568,419.500,46.750
569,465.000,45.500
570,471.000,45.500
571,494.333,46.167
572,547.000,45.500
573,553.500,45.500
574,561.500,45.500
575,603.167,46.000
576,612.700,46.700
577,633.667,45.833
578,244.500,46.500
579,246.833,47.167
580,272.333,47.500
581,325.500,46.500
582,431.500,46.500
583,514.071,47.357
584,532.333,47.167
585,625.562,49.812
586,31.000,47.500
